,Car Name,Car Model,Model Year,Price,Registration Year,Fuel Type,Kms Driven(kms),Engine Displacement(cc),Transmission,Year of Manufacture,Mileage(kmpl),Steering Type,Top Speed(kmph)
1473,Volkswagen,Volkswagen Ameo,2017.0,645000.0,2017.0,Diesel,70332.0,1498.0,Manual,2017.0,21.66,Power,163.0
1474,Maruti,Maruti Ignis,2017.0,585000.0,2017.0,Petrol,37950.0,1197.0,Manual,2017.0,20.89,Electrical,165.0
1475,Hyundai,Hyundai i20,2019.0,835000.0,2019.0,Petrol,38100.0,1197.0,Manual,2019.0,18.6,Power,170.0
1476,Toyota,Toyota Fortuner,2012.0,1648999.9999999998,2012.0,Diesel,156039.0,2982.0,Manual,2012.0,12.55,Power,176.0
1477,Maruti,Maruti SX4,2008.0,330000.0,2008.0,Petrol,56000.0,1586.0,Manual,2008.0,15.0,Power,177.0
1478,Honda,Honda Brio,2014.0,425000.0,2014.0,Petrol,42000.0,1198.0,Manual,2014.0,19.4,Power,164.0
1479,Hyundai,Hyundai i20,2018.0,750000.0,2018.0,Diesel,93003.0,1396.0,Manual,2018.0,22.54,Power,180.0
1480,Hyundai,Hyundai Grand i10,2017.0,675000.0,2017.0,Petrol,36000.0,1197.0,Automatic,2017.0,18.9,Power,165.0
1481,Kia,Kia Sonet,2022.0,1150000.0,2022.0,Petrol,20000.0,998.0,Automatic,2022.0,16.5,Electric,165.0
1482,Maruti,Maruti Eeco,2015.0,415000.00000000006,2015.0,Petrol,20687.0,1196.0,Manual,2015.0,15.37,Manual,145.0
1483,Nissan,Nissan Magnite,2021.0,750000.0,2021.0,Petrol,30000.0,999.0,Manual,2021.0,20.0,Electronic,165.0
1484,Hyundai,Hyundai i10,2015.0,398000.0,2015.0,Petrol,59247.0,1086.0,Manual,2015.0,19.81,Power,165.0
1485,Honda,Honda Jazz,2015.0,550000.0,2015.0,Petrol,50000.0,1199.0,Manual,2015.0,18.7,Power,172.0
1486,Mercedes-Benz,Mercedes-Benz E-Class,2016.0,3300000.0,2017.0,Diesel,20000.0,2143.0,Automatic,2016.0,13.0,Power,242.0
1487,Maruti,Maruti Celerio,2016.0,453000.0,2016.0,Petrol,29403.0,998.0,Automatic,2016.0,23.1,Power,150.0
1488,Maruti,Maruti A-Star,2010.0,285000.0,2010.0,Petrol,42700.0,998.0,Manual,2010.0,19.0,Power,164.0
1489,BMW,BMW X3,2018.0,5000000.0,2018.0,Diesel,23001.0,1995.0,Automatic,2018.0,16.55,Power,213.0
1490,Ford,Ford Ecosport,2018.0,821000.0000000001,2018.0,Petrol,25925.0,1497.0,Automatic,2018.0,14.8,Power,171.43
1491,Hyundai,Hyundai i20,2021.0,865000.0,2021.0,Petrol,20000.0,1197.0,Manual,2021.0,21.0,Electric,165.0
1492,Honda,Honda Jazz,2019.0,792000.0,2019.0,Petrol,17711.0,1199.0,Automatic,2019.0,18.2,Power,172.0
1493,BMW,BMW 3 Series,2020.0,4050000.0,2020.0,Diesel,50000.0,1995.0,Automatic,2020.0,20.37,Power,243.0
1494,Maruti,Maruti Swift,2018.0,610000.0,2018.0,Petrol,50000.0,1197.0,Manual,2018.0,22.0,Power,160.0
1495,Hyundai,Hyundai Grand i10,2018.0,511000.00000000006,2019.0,Petrol,51125.0,1197.0,Manual,2018.0,18.9,Power,165.0
1496,Tata,Tata Nexon,2019.0,710000.0,2019.0,Diesel,69233.0,1497.0,Manual,2019.0,21.5,Power,154.19
1497,Jeep,Jeep Compass,2017.0,1225000.0,2017.0,Diesel,65000.0,1956.0,Manual,2017.0,17.1,Power,160.21
1498,Honda,Honda City,2014.0,570000.0,2014.0,Petrol,93281.0,1497.0,Manual,2014.0,17.4,Power,195.0
1499,Toyota,Toyota Fortuner,2022.0,3900000.0,2022.0,Diesel,18000.0,2755.0,Manual,2022.0,12.99,Power,157.3
1500,Honda,Honda Amaze,2014.0,375000.0,2014.0,Petrol,99225.0,1198.0,Manual,2014.0,18.0,Power,160.0
1501,Hyundai,Hyundai EON,2016.0,275000.0,2016.0,Petrol,30000.0,998.0,Manual,2016.0,20.3,Power,140.0
1502,Honda,Honda Amaze,2014.0,429000.0,2014.0,Petrol,30602.0,1198.0,Manual,2014.0,18.0,Power,160.0
1503,Maruti,Maruti Swift,2018.0,675000.0,2018.0,Diesel,64500.0,1248.0,Manual,2018.0,25.2,Power,155.0
1504,Honda,Honda City,2017.0,793000.0,2017.0,Petrol,46809.0,1497.0,Manual,2017.0,17.8,Power,195.0
1506,Hyundai,Hyundai Creta,2019.0,1425000.0,2019.0,Diesel,20000.0,1582.0,Automatic,2019.0,17.01,Power,190.0
1507,Hyundai,Hyundai Venue,2020.0,1036000.0,2020.0,Petrol,21725.0,998.0,Automatic,2020.0,18.15,Power,165.0
1508,Honda,Honda City,2016.0,800000.0,2016.0,Petrol,80000.0,1497.0,Manual,2016.0,17.8,Power,195.0
1509,Audi,Audi A6,2013.0,1400000.0,2013.0,Petrol,88000.0,1984.0,Automatic,2013.0,13.53,Power,226.0
1510,Honda,Honda City,2019.0,1088000.0,2019.0,Petrol,30360.0,1497.0,Automatic,2019.0,17.4,Power,178.55
1511,Maruti,Maruti Baleno,2017.0,590000.0,2017.0,Petrol,70000.0,1197.0,Automatic,2017.0,21.4,Power,180.0
1512,Hyundai,Hyundai Grand i10,2016.0,568000.0,2016.0,Petrol,16246.0,1197.0,Manual,2016.0,18.9,Power,165.0
1513,Maruti,Maruti Celerio,2017.0,400000.0,2017.0,Petrol,55000.0,998.0,Automatic,2017.0,23.1,Power,150.0
1514,Toyota,Toyota Innova Crysta,2022.0,2790000.0,2022.0,Petrol,13000.0,2694.0,Automatic,2022.0,8.0,Power,167.99
1515,Maruti,Maruti Celerio,2016.0,422000.0,2016.0,Petrol,71638.0,998.0,Automatic,2016.0,23.1,Power,150.0
